,Occupations,year,County,YearlyNumEmpbyCounty
594,Office and administrative support occupations,2012,"Richmond County, New York",56037.625
595,"Farming, fishing, and forestry occupations",2012,"Bronx County, New York",1222.0
596,"Farming, fishing, and forestry occupations",2012,"Kings County, New York",642.0
597,"Farming, fishing, and forestry occupations",2012,"New York County, New York",662.0
598,"Farming, fishing, and forestry occupations",2012,"Queens County, New York",1524.0
599,"Farming, fishing, and forestry occupations",2012,"Richmond County, New York",48.125
600,Construction and extraction occupations,2012,"Bronx County, New York",40741.0
601,Construction and extraction occupations,2012,"Kings County, New York",84585.0
602,Construction and extraction occupations,2012,"New York County, New York",19156.0
603,Construction and extraction occupations,2012,"Queens County, New York",107728.0
604,Construction and extraction occupations,2012,"Richmond County, New York",21874.0
605,"Installation, maintenance, and repair occupations",2012,"Bronx County, New York",20220.75
606,"Installation, maintenance, and repair occupations",2012,"Kings County, New York",31486.0
607,"Installation, maintenance, and repair occupations",2012,"New York County, New York",9686.0
608,"Installation, maintenance, and repair occupations",2012,"Queens County, New York",38448.0
609,"Installation, maintenance, and repair occupations",2012,"Richmond County, New York",12504.375
610,Production occupations,2012,"Bronx County, New York",32789.0
611,Production occupations,2012,"Kings County, New York",56010.0
612,Production occupations,2012,"New York County, New York",27537.0
613,Production occupations,2012,"Queens County, New York",63440.0
614,Production occupations,2012,"Richmond County, New York",8170.75
615,Transportation occupations,2012,"Bronx County, New York",54245.5
616,Transportation occupations,2012,"Kings County, New York",68510.0
617,Transportation occupations,2012,"New York County, New York",28280.0
618,Transportation occupations,2012,"Queens County, New York",92389.0
619,Transportation occupations,2012,"Richmond County, New York",14011.375
620,Material moving occupations,2012,"Bronx County, New York",24230.75
621,Material moving occupations,2012,"Kings County, New York",24285.0
622,Material moving occupations,2012,"New York County, New York",9276.0
623,Material moving occupations,2012,"Queens County, New York",30741.0
624,Material moving occupations,2012,"Richmond County, New York",7384.875
750,Management occupations,2013,"Bronx County, New York",42676.5
751,Management occupations,2013,"Kings County, New York",159350.0
752,Management occupations,2013,"New York County, New York",257510.25
753,Management occupations,2013,"Queens County, New York",131475.0
754,Management occupations,2013,"Richmond County, New York",38759.5
755,Business and financial operations occupations,2013,"Bronx County, New York",23456.75
756,Business and financial operations occupations,2013,"Kings County, New York",84821.0
757,Business and financial operations occupations,2013,"New York County, New York",157645.5
758,Business and financial operations occupations,2013,"Queens County, New York",83445.0
759,Business and financial operations occupations,2013,"Richmond County, New York",21586.5
