"Label","Bronx County, New York / White alone / Estimate","Bronx County, New York / White alone / Margin of Error","Bronx County, New York / Black or African American alone / Estimate","Bronx County, New York / Black or African American alone / Margin of Error","Bronx County, New York / Some other race alone / Estimate","Bronx County, New York / Some other race alone / Margin of Error","Bronx County, New York / Hispanic or Latino (of any race) (200-299) / Estimate","Bronx County, New York / Hispanic or Latino (of any race) (200-299) / Margin of Error","Bronx County, New York / Not Hispanic or Latino / Estimate","Bronx County, New York / Not Hispanic or Latino / Margin of Error","Kings County, New York / White alone / Estimate","Kings County, New York / White alone / Margin of Error","Kings County, New York / Black or African American alone / Estimate","Kings County, New York / Black or African American alone / Margin of Error","Kings County, New York / Asian alone (400-499) / Estimate","Kings County, New York / Asian alone (400-499) / Margin of Error","Kings County, New York / Some other race alone / Estimate","Kings County, New York / Some other race alone / Margin of Error","Kings County, New York / Hispanic or Latino (of any race) (200-299) / Estimate","Kings County, New York / Hispanic or Latino (of any race) (200-299) / Margin of Error","Kings County, New York / Not Hispanic or Latino / Estimate","Kings County, New York / Not Hispanic or Latino / Margin of Error","New York County, New York / White alone / Estimate","New York County, New York / White alone / Margin of Error","New York County, New York / Black or African American alone / Estimate","New York County, New York / Black or African American alone / Margin of Error","New York County, New York / Asian alone (400-499) / Estimate","New York County, New York / Asian alone (400-499) / Margin of Error","New York County, New York / Some other race alone / Estimate","New York County, New York / Some other race alone / Margin of Error","New York County, New York / Two or more races / Estimate","New York County, New York / Two or more races / Margin of Error","New York County, New York / Hispanic or Latino (of any race) (200-299) / Estimate","New York County, New York / Hispanic or Latino (of any race) (200-299) / Margin of Error","New York County, New York / Not Hispanic or Latino / Estimate","New York County, New York / Not Hispanic or Latino / Margin of Error","Queens County, New York / White alone / Estimate","Queens County, New York / White alone / Margin of Error","Queens County, New York / Black or African American alone / Estimate","Queens County, New York / Black or African American alone / Margin of Error","Queens County, New York / Asian alone (400-499) / Estimate","Queens County, New York / Asian alone (400-499) / Margin of Error","Queens County, New York / Some other race alone / Estimate","Queens County, New York / Some other race alone / Margin of Error","Queens County, New York / Two or more races / Estimate","Queens County, New York / Two or more races / Margin of Error","Queens County, New York / Hispanic or Latino (of any race) (200-299) / Estimate","Queens County, New York / Hispanic or Latino (of any race) (200-299) / Margin of Error","Queens County, New York / Not Hispanic or Latino / Estimate","Queens County, New York / Not Hispanic or Latino / Margin of Error"
"Same house","90.4","1.3","88.7","1.1","87.4","1.5","88.1","1.1","89.0","1.1","89.2","0.6","92.9","0.7","91.0","1.3","90.9","1.9","90.7","1.0","90.9","0.5","81.7","1.0","89.1","3.1","80.4","2.8","94.1","2.4","87.7","3.4","91.9","1.3","81.9","1.0","91.4","0.7","91.6","1.3","88.7","1.1","91.0","1.7","89.8","3.1","91.0","1.1","90.5","0.6"
"Different house in the U.S.","9.0","1.3","10.6","1.2","11.4","1.5","10.7","1.1","10.0","1.0","9.7","0.6","6.6","0.7","7.9","1.3","8.0","1.8","8.1","0.9","8.3","0.5","16.5","1.0","10.6","3.1","14.8","2.4","5.0","2.3","9.9","2.8","7.1","1.2","16.0","1.0","8.0","0.7","8.0","1.3","9.5","1.0","8.3","1.6","9.2","3.2","8.3","1.1","8.5","0.6"
"Same county","4.9","0.9","6.3","0.9","8.5","1.2","7.9","0.9","5.5","0.8","5.9","0.6","4.8","0.6","5.4","1.1","5.9","1.6","5.4","0.9","5.5","0.4","9.1","0.8","5.0","1.1","7.1","1.5","3.8","2.2","5.4","2.2","3.9","0.8","8.7","0.6","4.7","0.7","4.4","1.2","7.0","0.9","6.6","1.6","7.2","3.1","6.0","1.0","5.3","0.5"
"Different county","4.1","0.8","4.2","0.8","2.9","1.0","2.8","0.7","4.5","0.7","3.8","0.3","1.8","0.4","2.6","0.7","2.1","0.8","2.7","0.5","2.8","0.2","7.4","0.8","5.6","2.8","7.7","1.6","1.1","0.5","4.5","1.7","3.2","0.8","7.3","0.8","3.3","0.5","3.6","0.8","2.5","0.5","1.7","0.5","2.0","0.8","2.3","0.6","3.2","0.3"
"Same state","2.8","0.6","3.5","0.8","2.2","0.9","2.1","0.7","3.5","0.6","2.1","0.2","1.1","0.3","1.6","0.5","1.1","0.4","1.6","0.3","1.5","0.2","2.8","0.4","4.7","2.8","2.6","0.8","0.7","0.4","1.3","0.9","1.8","0.6","3.1","0.7","2.5","0.4","2.8","0.8","1.5","0.4","1.3","0.5","1.3","0.8","1.8","0.5","2.2","0.3"
"Different state","1.3","0.4","0.7","0.3","0.7","0.3","0.7","0.2","1.0","0.3","1.7","0.2","0.7","0.2","1.0","0.4","1.0","0.7","1.1","0.4","1.3","0.2","4.5","0.8","0.9","0.4","5.2","1.3","0.5","0.3","3.2","1.5","1.4","0.7","4.2","0.6","0.9","0.2","0.8","0.3","1.0","0.3","0.4","0.4","0.7","0.5","0.5","0.2","1.0","0.2"
"Abroad","0.6","0.3","0.7","0.4","1.2","0.5","1.1","0.4","1.0","0.3","1.1","0.2","0.5","0.1","1.1","0.3","1.1","0.4","1.1","0.3","0.8","0.1","1.8","0.4","0.2","0.2","4.8","1.7","0.9","0.7","2.5","2.4","1.0","0.5","2.1","0.4","0.7","0.2","0.4","0.2","1.8","0.4","0.7","0.5","1.0","0.7","0.6","0.3","1.0","0.2"
"PLACE OF BIRTH, CITIZENSHIP STATUS AND YEAR OF ENTRY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Native","222428","8393","327565","10165","329937","11142","498355","11984","441860","7866","793492","12351","557860","10355","91408","3461","131590","8535","314387","7380","1313204","12596","736843","11973","196335","7178","68573","5028","112104","10176","45366","7012","245332","8741","918773","10383","608407","11033","273100","7742","146255","5034","114568","7881","43942","4615","311842","7760","879428","12249"
"Male","47.2","1.5","45.6","1.0","49.0","1.3","47.8","0.8","46.7","0.6","49.8","0.4","45.4","0.5","50.5","1.7","49.8","1.9","48.2","0.7","48.3","0.3","48.0","0.7","45.7","1.4","46.8","2.7","49.2","3.1","48.8","5.6","48.5","1.4","47.4","0.5","49.6","0.7","45.3","0.9","52.3","1.4","51.6","2.3","50.3","3.2","50.7","0.8","48.6","0.4"
"Female","52.8","1.5","54.4","1.0","51.0","1.3","52.2","0.8","53.3","0.6","50.2","0.4","54.6","0.5","49.5","1.7","50.2","1.9","51.8","0.7","51.7","0.3","52.0","0.7","54.3","1.4","53.2","2.7","50.8","3.1","51.2","5.6","51.5","1.4","52.6","0.5","50.4","0.7","54.7","0.9","47.7","1.4","48.4","2.3","49.7","3.2","49.3","0.8","51.4","0.4"
"Foreign born","70166","5405","142068","7447","212387","12199","276423","11983","202095","7866","322152","9894","326870","9373","203158","3723","96012","6549","193493","7380","771065","12596","183167","10000","49198","5332","118055","5320","92136","9769","16565","4471","174066","8741","287988","10383","365467","11449","148105","7156","416030","5655","142181","10191","30798","4867","330417","7760","774488","12249"
"Male","47.4","2.7","46.6","1.8","47.1","1.9","46.3","1.5","47.9","1.4","47.8","0.8","41.0","1.0","48.6","0.8","50.9","2.2","50.6","1.1","44.8","0.5","48.7","2.5","47.4","4.7","42.1","1.6","46.5","3.2","44.2","8.9","46.4","2.0","46.1","1.8","49.4","1.0","45.6","1.5","47.3","0.5","49.1","1.5","47.1","4.2","50.0","0.8","47.1","0.5"
"Female","52.6","2.7","53.4","1.8","52.9","1.9","53.7","1.5","52.1","1.4","52.2","0.8","59.0","1.0","51.4","0.8","49.1","2.2","49.4","1.1","55.2","0.5","51.3","2.5","52.6","4.7","57.9","1.6","53.5","3.2","55.8","8.9","53.6","2.0","53.9","1.8","50.6","1.0","54.4","1.5","52.7","0.5","50.9","1.5","52.9","4.2","50.0","0.8","52.9","0.5"
"Foreign born; naturalized U.S. citizen","37744","3494","75652","5331","83156","7002","111786","6968","111469","6144","194525","6857","198918","7440","114372","5090","26127","3252","66028","4180","475009","11147","86015","5755","24287","3668","63538","5444","46585","6030","8176","2632","89941","5882","140443","7649","200260","7487","94590","5177","235050","7761","66265","5774","18074","2701","136383","5486","479446","11338"
"Male","46.0","3.4","43.4","2.9","42.1","3.4","41.1","2.7","45.8","2.1","46.4","1.2","39.2","1.3","47.9","1.6","44.9","4.6","43.9","2.0","43.8","0.8","44.6","3.7","38.6","6.9","41.4","3.2","40.1","4.5","35.4","10.0","39.6","2.9","43.2","2.3","46.6","1.6","42.9","1.9","47.7","1.1","44.9","3.2","46.9","4.4","45.4","1.8","46.5","0.8"
"Female","54.0","3.4","56.6","2.9","57.9","3.4","58.9","2.7","54.2","2.1","53.6","1.2","60.8","1.3","52.1","1.6","55.1","4.6","56.1","2.0","56.2","0.8","55.4","3.7","61.4","6.9","58.6","3.2","59.9","4.5","64.6","10.0","60.4","2.9","56.8","2.3","53.4","1.6","57.1","1.9","52.3","1.1","55.1","3.2","53.1","4.4","54.6","1.8","53.5","0.8"
"Foreign born; not a U.S. citizen","32422","3838","66416","6035","129231","8986","164637","9757","90626","6837","127627","7932","127952","6971","88786","5886","69885","6255","127465","7451","296056","11509","97152","8849","24911","3671","54517","5675","45551","6836","8389","3361","84125","8114","147545","9647","165207","10207","53515","5352","180980","7621","75916","6849","12724","3522","194034","8655","295042","10427"
"Male","48.9","5.2","50.2","3.1","50.3","2.6","49.8","2.1","50.6","2.5","50.0","1.8","43.8","2.2","49.4","1.8","53.1","2.6","54.0","1.6","46.4","1.3","52.3","3.2","55.9","6.9","43.0","3.1","53.0","5.4","52.9","13.3","53.8","3.2","48.9","2.4","52.7","1.8","50.4","3.4","46.7","1.5","52.8","2.5","47.4","7.7","53.3","1.5","48.1","1.1"
"Female","51.1","5.2","49.8","3.1","49.7","2.6","50.2","2.1","49.4","2.5","50.0","1.8","56.2","2.2","50.6","1.8","46.9","2.6","46.0","1.6","53.6","1.3","47.7","3.2","44.1","6.9","57.0","3.1","47.0","5.4","47.1","13.3","46.2","3.2","51.1","2.4","47.3","1.8","49.6","3.4","53.3","1.5","47.2","2.5","52.6","7.7","46.7","1.5","51.9","1.1"
"Population born outside the United States","70166","5405","142068","7447","212387","12199","276423","11983","202095","7866","322152","9894","326870","9373","203158","3723","96012","6549","193493","7380","771065","12596","183167","10000","49198","5332","118055","5320","92136","9769","16565","4471","174066","8741","287988","10383","365467","11449","148105","7156","416030","5655","142181","10191","30798","4867","330417","7760","774488","12249"
"Entered 2010 or later","9.3","2.9","9.3","2.1","11.7","1.9","11.4","1.7","10.3","2.0","9.8","1.2","6.3","0.9","9.4","1.6","10.1","2.2","9.7","1.4","8.4","0.8","19.1","2.6","6.7","2.5","16.6","3.4","6.9","2.4","20.4","10.6","9.9","2.2","17.6","2.3","6.6","1.1","5.6","1.2","9.3","0.9","6.7","1.6","7.6","2.9","7.3","1.1","7.6","0.7"
"Entered 2000 to 2009","23.3","3.6","30.7","2.6","33.5","2.6","31.7","2.0","29.7","2.1","25.4","1.7","23.0","1.5","31.1","2.3","33.7","2.8","32.0","2.1","25.3","1.0","24.6","2.7","26.2","4.1","18.7","2.5","30.3","4.8","20.0","7.5","24.5","3.2","24.2","1.9","27.1","1.6","21.5","2.2","31.8","1.5","31.2","3.2","27.3","5.6","31.3","2.0","27.5","1.1"
"Entered before 2000","67.4","4.3","60.0","3.0","54.7","2.9","56.9","2.3","60.0","2.4","64.7","1.9","70.7","1.7","59.5","2.4","56.2","3.0","58.3","2.2","66.3","1.1","56.3","3.0","67.0","4.4","64.7","3.6","62.9","5.1","59.6","11.2","65.6","3.4","58.2","2.2","66.3","2.1","72.9","2.6","58.9","1.6","62.1","3.6","65.1","6.7","61.4","2.2","64.9","1.0"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Foreign-born population excluding population born at sea","70166","5405","142068","7447","212387","12199","276423","11983","202095","7866","322152","9894","326870","9373","203158","3723","96012","6549","193493","7380","771065","12596","183167","10000","49198","5332","118055","5320","92136","9769","16565","4471","174066","8741","287988","10383","365467","11449","148105","7156","416030","5655","142181","10191","30798","4867","330417","7760","774488","12249"
"Europe","33.3","3.7","0.8","0.5","N","N","N","N","12.1","1.3","57.6","2.0","1.0","0.3","0.6","0.3","N","N","1.7","0.5","24.4","0.9","44.7","2.9","1.9","1.6","0.9","0.8","N","N","N","N","N","N","28.6","2.0","36.7","1.6","1.0","0.4","0.1","0.1","N","N","1.9","1.2","0.9","0.2","17.3","0.7"
"Asia","5.7","2.5","0.4","0.4","N","N","N","N","18.6","1.5","16.5","1.7","0.6","0.3","95.7","0.8","N","N","0.4","0.3","32.6","1.0","8.7","1.6","0.4","0.4","95.9","1.2","N","N","N","N","N","N","45.5","2.2","7.6","1.5","0.1","0.1","91.0","0.9","N","N","19.4","5.1","0.3","0.2","53.3","1.1"
"Africa","1.6","1.0","34.3","4.0","N","N","N","N","24.8","3.0","3.0","0.6","6.0","1.0","0.1","0.1","N","N","0.4","0.5","3.8","0.5","2.5","1.0","40.2","6.4","0.4","0.4","N","N","N","N","N","N","8.7","1.5","2.0","0.5","10.2","2.2","0.2","0.1","N","N","1.6","1.1","0.0","0.1","3.1","0.5"
"Oceania","0.1","0.2","0.0","0.1","N","N","N","N","0.0","0.1","0.5","0.2","0.0","0.1","0.1","0.1","N","N","0.0","0.1","0.3","0.1","3.0","1.2","0.0","0.3","0.2","0.2","N","N","N","N","N","N","2.1","0.8","0.1","0.1","0.0","0.1","0.0","0.1","N","N","0.0","0.5","0.0","0.1","0.1","0.1"
"Latin America","58.3","3.8","64.4","4.0","N","N","N","N","44.0","2.8","20.9","1.7","92.2","1.0","3.0","0.7","N","N","97.3","0.8","38.1","0.9","35.8","3.0","56.9","6.7","1.2","0.6","N","N","N","N","N","N","10.9","2.0","53.2","1.7","88.5","2.2","8.6","1.0","N","N","74.8","5.8","98.7","0.3","25.8","1.0"
"Northern America","0.9","0.7","0.1","0.1","N","N","N","N","0.4","0.2","1.5","0.4","0.2","0.1","0.6","0.2","N","N","0.2","0.2","0.8","0.2","5.3","1.2","0.6","0.5","1.4","0.7","N","N","N","N","N","N","4.1","0.8","0.4","0.2","0.2","0.1","0.2","0.1","N","N","2.4","1.8","0.0","0.1","0.4","0.1"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Population 5 years and over","276611","9641","437161","6208","494401","11315","709499","*****","600645","358","1034908","10672","823306","7423","275409","2463","207945","10307","464106","*****","1935473","211","878905","11853","232268","7173","179687","4114","190292","13275","53521","8052","391346","*****","1150460","163","917839","12486","396789","5991","530240","4599","235704","12490","66116","6580","591703","*****","1562036","755"
"English only","45.5","1.9","76.6","1.7","11.9","1.1","14.6","1.1","74.8","1.4","51.0","1.1","80.1","1.2","15.2","1.3","12.7","1.7","17.8","1.2","62.3","0.7","72.9","1.3","74.1","3.0","28.8","3.2","11.3","2.3","48.1","7.1","16.3","1.8","74.0","1.0","46.3","1.2","81.9","1.8","16.9","1.2","22.5","2.4","58.0","4.8","15.1","1.2","54.1","0.9"
"Language other than English","54.5","1.9","23.4","1.7","88.1","1.1","85.4","1.1","25.2","1.4","49.0","1.1","19.9","1.2","84.8","1.3","87.3","1.7","82.2","1.2","37.7","0.7","27.1","1.3","25.9","3.0","71.2","3.2","88.7","2.3","51.9","7.1","83.7","1.8","26.0","1.0","53.7","1.2","18.1","1.8","83.1","1.2","77.5","2.4","42.0","4.8","84.9","1.2","45.9","0.9"
"Speak English less than ""very well""","25.8","1.8","8.3","1.0","39.9","1.8","39.3","1.5","9.8","0.8","23.2","0.8","8.1","0.6","55.7","1.5","45.6","2.5","38.8","1.7","19.9","0.5","8.0","0.7","9.5","1.5","33.2","2.5","37.7","3.1","22.2","5.5","36.0","1.9","8.4","0.6","25.3","1.0","6.2","1.0","51.2","1.4","39.8","2.5","19.2","4.1","43.3","1.4","24.3","0.6"
"EMPLOYMENT STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Population 16 years and over","244172","8001","366362","4848","398179","9341","579110","1628","514393","1174","895525","8529","701416","6278","238907","2055","170656","8830","385478","919","1665632","1774","824856","9898","204914","6174","168230","3733","163251","11342","43919","6839","342031","1214","1070074","1102","813751","10606","342457","5465","466446","4069","197689","10870","52256","5479","498790","1231","1379067","1649"
"In labor force","52.1","1.7","61.0","1.4","61.2","1.4","59.2","1.1","58.9","0.9","64.0","0.6","62.3","0.9","63.5","1.1","63.3","2.2","62.9","1.2","63.4","0.5","72.2","1.1","53.7","2.1","67.4","2.4","61.2","2.3","63.5","4.4","59.5","1.7","69.7","0.9","62.6","0.7","66.5","1.1","63.5","0.9","68.6","2.4","63.5","3.7","67.4","1.1","63.1","0.5"
"Civilian labor force","52.1","1.7","61.0","1.4","61.2","1.4","59.1","1.1","58.8","0.9","63.9","0.6","62.2","0.9","63.4","1.2","63.3","2.2","62.9","1.2","63.4","0.5","72.2","1.1","53.6","2.1","67.4","2.4","61.2","2.3","63.5","4.4","59.5","1.7","69.7","0.9","62.6","0.7","66.5","1.1","63.5","0.9","68.6","2.4","63.5","3.7","67.3","1.1","63.1","0.5"
"Employed","45.4","1.9","51.6","1.6","51.9","1.6","50.0","1.2","50.8","1.1","59.0","0.7","53.5","1.0","57.6","1.1","56.2","2.3","54.8","1.5","57.2","0.5","68.3","1.1","46.2","2.1","63.9","2.3","51.7","2.3","58.7","4.5","51.1","1.8","65.7","1.0","58.1","0.8","57.4","1.2","58.4","1.1","62.4","2.3","58.0","3.2","62.0","1.1","57.2","0.6"
"Unemployed","6.7","1.0","9.4","1.0","9.3","1.0","9.1","0.9","8.0","0.8","5.0","0.4","8.8","0.5","5.8","0.7","7.0","1.1","8.1","0.9","6.2","0.3","3.9","0.4","7.4","1.3","3.4","1.1","9.5","1.7","4.7","2.3","8.3","1.3","4.0","0.4","4.5","0.4","9.2","0.9","5.1","0.6","6.1","0.9","5.5","2.1","5.3","0.6","5.9","0.3"
"Percent of civilian labor force","12.8","1.9","15.4","1.7","15.2","1.6","15.4","1.4","13.7","1.3","7.8","0.6","14.1","0.9","9.2","1.0","11.1","1.8","12.9","1.4","9.8","0.4","5.5","0.6","13.8","2.3","5.1","1.6","15.5","2.7","7.4","3.6","14.0","2.1","5.7","0.6","7.1","0.6","13.8","1.3","8.0","1.0","8.9","1.3","8.7","3.1","7.9","0.8","9.3","0.5"
"Armed Forces","0.0","0.1","0.0","0.1","0.0","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.0","0.1","0.1","0.1","0.0","0.1","0.0","0.1","0.1","0.1","0.0","0.1","0.1","0.1","0.0","0.1","0.0","0.1","0.0","0.4","0.0","0.1","0.0","0.1","0.0","0.1","0.0","0.1","0.0","0.1","0.0","0.1","0.0","0.3","0.0","0.1","0.0","0.1"
"Not in labor force","47.9","1.7","39.0","1.4","38.8","1.4","40.8","1.1","41.1","0.9","36.0","0.6","37.7","0.9","36.5","1.1","36.7","2.2","37.1","1.2","36.6","0.5","27.8","1.1","46.3","2.1","32.6","2.4","38.8","2.3","36.5","4.4","40.5","1.7","30.3","0.9","37.4","0.7","33.5","1.1","36.5","0.9","31.4","2.4","36.5","3.7","32.6","1.1","36.9","0.5"
"Females 16 years and over","129350","4888","203598","3240","211507","5523","312635","1177","276970","779","460124","5143","404804","3794","123401","1270","86655","4929","198364","710","900477","1321","431848","5949","111689","3417","95925","2298","87694","6662","22459","3700","182153","689","571900","884","414843","5666","190152","2944","242937","2390","98585","5734","27500","3402","248655","952","727988","1167"
"In labor force","46.8","1.8","59.6","1.8","56.3","1.9","54.4","1.5","56.2","1.2","58.4","0.8","60.9","1.2","56.9","1.8","53.8","2.8","55.4","1.7","59.6","0.6","66.6","1.4","50.8","2.7","62.6","3.0","54.7","3.4","59.0","7.1","52.8","2.0","64.8","1.2","55.4","1.1","63.1","1.5","55.4","1.4","58.8","3.4","58.1","4.2","57.5","1.7","57.3","0.8"
"Civilian labor force","46.8","1.8","59.6","1.8","56.3","1.9","54.3","1.5","56.1","1.2","58.4","0.8","60.9","1.2","56.8","1.8","53.8","2.8","55.4","1.7","59.6","0.6","66.6","1.4","50.8","2.7","62.6","3.0","54.7","3.4","59.0","7.1","52.8","2.0","64.8","1.2","55.4","1.1","63.1","1.5","55.4","1.4","58.7","3.4","58.1","4.2","57.5","1.7","57.3","0.8"
"Employed","42.0","1.9","50.1","2.1","47.5","2.1","46.0","1.6","48.5","1.4","54.1","0.9","53.4","1.1","52.6","1.7","45.9","3.0","46.7","1.8","54.3","0.6","63.5","1.4","44.5","3.0","60.4","3.1","45.3","3.2","56.0","7.1","45.9","2.0","61.5","1.3","51.5","1.1","55.5","1.6","50.5","1.6","52.6","3.4","54.6","4.5","52.3","1.7","52.1","0.8"
"Unemployed","4.8","1.0","9.4","1.3","8.8","1.2","8.3","1.0","7.6","0.9","4.3","0.4","7.5","0.7","4.2","0.8","7.9","1.6","8.7","1.1","5.2","0.3","3.1","0.5","6.3","1.6","2.2","0.8","9.4","2.1","2.9","2.3","6.9","1.3","3.3","0.5","3.9","0.5","7.5","0.9","5.0","0.8","6.2","1.5","3.5","1.8","5.2","0.8","5.1","0.4"
"Percent of civilian labor force","10.3","2.1","15.9","2.2","15.6","2.1","15.3","1.7","13.5","1.6","7.4","0.7","12.4","1.0","7.4","1.3","14.7","2.9","15.7","2.0","8.8","0.5","4.7","0.8","12.4","3.0","3.4","1.3","17.2","3.6","4.9","3.8","13.1","2.3","5.1","0.8","7.0","0.9","11.9","1.4","9.0","1.4","10.5","2.5","6.0","3.1","9.0","1.4","9.0","0.7"
"COMMUTING TO WORK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Workers 16 years and over","108020","5285","181031","6249","202152","6758","283303","7100","251376","6021","517957","7875","367449","7391","134203","3014","93930","5853","207587","5756","931711","8286","552832","9755","92434","5005","106031","4234","80316","7119","25278","3934","167359","6002","692374","9859","465433","9718","189398","4986","265867","5455","120772","7523","29257","2958","304215","5571","768788","8175"
"Car, truck, or van - drove alone","33.3","2.8","21.9","2.1","17.1","1.7","19.2","1.4","26.0","2.0","17.8","0.8","20.7","1.2","14.5","1.3","13.9","2.0","13.9","1.4","18.9","0.6","5.5","0.6","6.9","2.0","4.1","1.3","6.6","2.1","4.2","2.5","6.6","1.2","5.3","0.5","31.4","1.4","36.2","2.0","27.7","1.6","24.8","2.8","29.0","4.3","22.9","1.6","33.6","1.0"
"Car, truck, or van - carpooled","7.5","1.4","4.0","0.9","4.2","0.9","4.8","0.8","5.1","0.7","4.9","0.5","3.6","0.6","8.1","1.4","3.3","1.1","3.2","0.6","5.0","0.4","1.7","0.4","1.9","1.2","1.3","0.8","2.7","1.4","1.1","1.2","3.1","1.1","1.4","0.3","5.7","0.6","6.4","1.0","10.1","1.1","6.0","1.3","8.2","2.6","6.2","1.0","7.3","0.5"
"Public transportation (excluding taxicab)","44.5","2.8","64.2","2.3","62.7","2.1","60.9","1.7","56.8","2.0","58.0","1.0","67.1","1.5","65.6","2.3","60.4","3.3","65.2","2.0","61.5","0.8","56.6","1.5","70.2","4.0","59.6","3.5","67.5","3.5","67.0","7.2","63.9","2.7","58.7","1.4","52.1","1.4","49.9","2.1","51.5","1.8","58.0","3.1","52.1","4.0","59.4","2.0","49.4","1.0"
"Walked","10.4","1.8","6.2","1.1","9.4","1.5","9.2","1.2","8.1","1.0","10.5","0.7","4.5","0.6","7.6","1.3","14.0","2.3","10.9","1.3","7.9","0.4","21.0","1.2","12.6","2.3","27.7","3.1","15.6","3.1","15.3","5.0","16.5","2.4","21.2","1.1","5.9","0.6","2.9","0.6","6.8","0.9","6.9","1.8","6.8","1.8","7.1","1.0","5.2","0.5"
"Other means","1.5","0.6","1.4","0.6","2.4","0.7","2.3","0.5","1.3","0.5","3.0","0.3","1.8","0.4","1.6","0.5","4.2","1.4","3.4","0.7","2.4","0.3","7.3","0.8","3.1","1.2","2.5","1.0","3.5","2.1","7.5","3.9","3.9","1.2","6.4","0.7","1.6","0.3","1.3","0.6","1.7","0.5","2.7","1.1","1.5","1.0","2.1","0.6","1.5","0.2"
"Worked at home","2.9","0.9","2.3","0.6","4.0","0.8","3.6","0.7","2.7","0.6","5.7","0.6","2.3","0.4","2.6","0.7","4.2","1.4","3.4","0.9","4.3","0.3","7.9","0.9","5.2","2.1","4.8","1.3","4.1","1.6","4.9","2.7","6.0","1.5","6.9","0.7","3.4","0.6","3.2","1.0","2.2","0.6","1.6","0.6","2.5","1.3","2.3","0.6","3.0","0.4"
"Mean travel time to work (minutes)","38.6","1.5","44.7","1.3","41.6","1.0","41.7","0.8","42.7","1.0","38.5","0.5","45.7","0.7","45.4","1.3","38.9","1.5","40.4","1.0","42.1","0.4","29.2","0.5","36.1","1.4","29.4","1.2","36.3","1.8","33.6","2.7","36.1","1.4","29.5","0.5","39.3","0.6","48.6","1.3","43.3","0.8","41.4","1.3","44.6","2.9","41.0","0.9","42.8","0.5"
"OCCUPATION","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Civilian employed population 16 years and over","110845","5581","188951","6263","206779","6618","289490","7027","261171","5965","527943","8120","375145","7321","137634","2917","95977","5970","211186","5585","952223","8133","563059","9838","94738","5208","107524","4324","84433","7116","25801","4022","174894","6209","703503","10055","473059","9946","196437","4974","272432","5587","123448","7704","30314","3228","309310","5685","788713","8044"
"Management, business, science, and arts occupations","33.2","2.3","24.9","1.7","15.5","1.7","17.7","1.4","30.8","1.7","50.9","1.2","27.7","1.4","35.0","2.0","15.3","2.1","19.9","1.4","42.5","1.0","69.0","1.7","37.8","3.5","64.3","3.1","20.8","3.2","53.2","7.2","28.6","2.6","67.6","1.4","36.1","1.0","28.3","1.6","36.3","1.6","16.3","1.6","33.6","5.3","19.4","1.2","37.5","0.8"
"Service occupations","23.7","1.8","34.6","2.1","38.7","2.2","36.4","1.7","30.4","1.6","15.3","0.8","33.8","1.5","25.8","2.2","38.8","3.1","33.5","1.9","22.5","0.6","8.6","1.0","26.4","3.1","12.3","2.2","35.3","4.4","19.0","5.9","31.3","2.9","9.6","0.7","22.9","1.0","27.7","1.6","22.1","1.2","32.0","2.2","25.7","5.9","33.4","1.7","21.2","0.7"
"Sales and office occupations","26.9","1.8","25.1","2.0","23.7","1.8","25.2","1.5","23.8","1.5","21.8","0.9","23.2","1.1","22.2","2.0","17.5","2.2","20.0","1.5","22.5","0.7","19.2","1.3","25.2","3.1","19.6","2.4","25.6","3.2","20.4","5.2","24.7","2.1","19.6","1.2","22.2","0.9","25.2","1.7","25.6","1.3","23.4","2.0","26.6","4.0","21.4","1.3","24.8","0.6"
"Natural resources, construction, and maintenance occupations","7.0","1.3","4.7","0.8","8.5","1.3","7.8","1.0","5.4","0.7","5.8","0.6","6.5","0.7","4.8","0.7","13.3","2.1","12.2","1.1","5.3","0.4","1.3","0.4","3.6","1.2","0.5","0.3","6.4","2.1","2.9","2.6","6.0","1.6","1.0","0.2","9.8","0.8","8.2","1.2","4.5","0.7","14.7","2.1","5.1","1.6","12.8","1.3","7.0","0.5"
"Production, transportation, and material moving occupations","9.3","1.2","10.7","1.3","13.5","1.5","13.0","1.2","9.7","1.0","6.2","0.6","8.7","0.7","12.1","1.5","15.1","1.8","14.4","1.4","7.2","0.4","2.0","0.5","7.0","1.8","3.3","1.0","11.9","2.9","4.6","2.9","9.4","1.8","2.3","0.5","9.1","0.8","10.6","1.1","11.6","1.1","13.6","1.6","9.0","2.7","12.9","1.2","9.6","0.5"
