"Occupations","Gender","Boroughs","year","Salary","year_range"
"Management occupations","Female","Kings County","year2012",65099,"year2010_2013"
"Management occupations","Female","Kings County","year2013",62768,"year2010_2013"
"Management occupations","Female","Kings County","year2014",65826,"year2014_2016"
"Management occupations","Female","Kings County","year2015",70008,"year2014_2016"
"Management occupations","Female","Kings County","year2016",68255,"year2014_2016"
"Management occupations","Female","Kings County","year2017",71482,"year2017_2019"
"Management occupations","Female","Kings County","year2018",75007,"year2017_2019"
"Management occupations","Female","Kings County","year2019",80933,"year2017_2019"
"Business and financial operations occupations","Female","Kings County","year2010",59101,"year2010_2013"
"Business and financial operations occupations","Female","Kings County","year2011",51479,"year2010_2013"
"Business and financial operations occupations","Female","Kings County","year2012",56474,"year2010_2013"
"Business and financial operations occupations","Female","Kings County","year2013",61439,"year2010_2013"
"Business and financial operations occupations","Female","Kings County","year2014",56938,"year2014_2016"
"Business and financial operations occupations","Female","Kings County","year2015",60935,"year2014_2016"
"Business and financial operations occupations","Female","Kings County","year2016",55340,"year2014_2016"
"Business and financial operations occupations","Female","Kings County","year2017",62881,"year2017_2019"
"Business and financial operations occupations","Female","Kings County","year2018",70648,"year2017_2019"
"Business and financial operations occupations","Female","Kings County","year2019",76348,"year2017_2019"
"Computer and mathematical occupations","Female","Kings County","year2010",71367,"year2010_2013"
"Computer and mathematical occupations","Female","Kings County","year2011",72108,"year2010_2013"
"Computer and mathematical occupations","Female","Kings County","year2012",65537,"year2010_2013"
"Computer and mathematical occupations","Female","Kings County","year2013",74612,"year2010_2013"
"Computer and mathematical occupations","Female","Kings County","year2014",66214,"year2014_2016"
"Computer and mathematical occupations","Female","Kings County","year2015",70758,"year2014_2016"
"Computer and mathematical occupations","Female","Kings County","year2016",71871,"year2014_2016"
"Computer and mathematical occupations","Female","Kings County","year2017",74384,"year2017_2019"
"Computer and mathematical occupations","Female","Kings County","year2018",82369,"year2017_2019"
"Computer and mathematical occupations","Female","Kings County","year2019",81109,"year2017_2019"
"Architecture and engineering occupations","Female","Kings County","year2010",50718,"year2010_2013"
"Architecture and engineering occupations","Female","Kings County","year2011",63008,"year2010_2013"
