Occupations,Gender,Boroughs,year,Salary,year_range,Salary_avg,Salary_year,Salary_county,Salary_gender,Salary_YearlyAvg
"Farming, fishing, and forestry occupations",Male,Bronx County,year2010,41019.0,year2010_2013,28319.0,27154.708333333336,23558.15,25023.52499999999,26358.875
"Farming, fishing, and forestry occupations",Male,Bronx County,year2011,25825.0,year2010_2013,28319.0,27154.708333333336,23558.15,25023.52499999999,26967.341666666667
"Farming, fishing, and forestry occupations",Male,Bronx County,year2012,18113.0,year2010_2013,28319.0,27154.708333333336,23558.15,25023.52499999999,30941.74166666667
"Farming, fishing, and forestry occupations",Male,Bronx County,year2013,28319.0,year2010_2013,28319.0,27154.708333333336,23558.15,25023.52499999999,24350.874999999996
"Farming, fishing, and forestry occupations",Male,Bronx County,year2014,28286.0,year2014_2016,28286.0,14898.604166666664,23558.15,25023.52499999999,12003.620833333332
"Farming, fishing, and forestry occupations",Male,Bronx County,year2015,25739.0,year2014_2016,28286.0,14898.604166666664,23558.15,25023.52499999999,15726.87083333333
"Farming, fishing, and forestry occupations",Male,Bronx County,year2016,30833.0,year2014_2016,28286.0,14898.604166666664,23558.15,25023.52499999999,16965.32083333333
"Farming, fishing, and forestry occupations",Male,Bronx County,year2017,27242.0,year2017_2019,27242.0,22900.25,23558.15,25023.52499999999,21202.149999999998
"Farming, fishing, and forestry occupations",Male,Bronx County,year2018,30112.0,year2017_2019,27242.0,22900.25,23558.15,25023.52499999999,24234.449999999997
"Farming, fishing, and forestry occupations",Male,Bronx County,year2019,24372.0,year2017_2019,27242.0,22900.25,23558.15,25023.52499999999,23264.149999999998
Construction and extraction occupations,Male,Bronx County,year2010,30809.0,year2010_2013,31209.25,37017.6,35048.3,35641.08,26284.1
Construction and extraction occupations,Male,Bronx County,year2011,27890.0,year2010_2013,31209.25,37017.6,35048.3,35641.08,38709.7
Construction and extraction occupations,Male,Bronx County,year2012,30197.0,year2010_2013,31209.25,37017.6,35048.3,35641.08,36953.6
Construction and extraction occupations,Male,Bronx County,year2013,35941.0,year2010_2013,31209.25,37017.6,35048.3,35641.08,46123.0
